	r_cntr	object_id	raj2000	dej2000	e_raj2000	e_dej2000	smss_j	mean_epoch	rms_epoch	glon	glat	flags	nimaflags	ngood	ngood_min	nch_max	density	u_flags	u_nimaflags	u_ngood	u_nch	u_nclip	v_flags	v_nimaflags	v_ngood	v_nch	v_nclip	g_flags	g_nimaflags	g_ngood	g_nch	g_nclip	r_flags	r_nimaflags	r_ngood	r_nch	r_nclip	i_flags	i_nimaflags	i_ngood	i_nch	i_nclip	z_flags	z_nimaflags	z_ngood	z_nch	z_nclip	class_star	flags_psf	radius_petro	u_psf	e_u_psf	u_rchi2var	u_petro	e_u_petro	v_psf	e_v_psf	v_rchi2var	v_petro	e_v_petro	g_psf	e_g_psf	g_rchi2var	g_petro	e_g_petro	r_psf	e_r_psf	r_rchi2var	r_petro	e_r_petro	i_psf	e_i_psf	i_rchi2var	i_petro	e_i_petro	z_psf	e_z_psf	z_rchi2var	z_petro	e_z_petro	ebmv_sfd	prox	prox_id	dr1_id	dr1_dist	twomass_key	twomass_dist	allwise_cntr	allwise_dist	ucac4_mpos	ucac4_dist	refcat2_id	refcat2_dist	ps1_dr1_id	ps1_dr1_dist	galex_guv_id	galex_guv_dist	gaia_dr2_id1	gaia_dr2_dist1	gaia_dr2_id2	gaia_dr2_dist2
☄	1.47	406586209	218.498561	-78.100279	36	36	143359.65-780601.0	57199.427	0.0	308.266	-16.304314	0	0	1	1	1	1.0			0		0			0		0			0		0			0		0	0	0	1	1	0			0		0	0.515	0	8.58																					19.3211	0.018	0.0	19.3172	0.1511						0.1232	15.0						2160078801351054593	6.95									5785782815615250688	0.15		
☄	14.63	406586208	218.509613	-78.096454	24	18	143402.30-780547.2	57208.434	126.6377	308.26974	-16.301725	0	0	18	2	1	2.0	0	0	2	1	0	0	0	3	1	0	0	0	2	1	0	0	0	2	1	1	0	0	4	1	0	0	0	5	1	0	0.984	0	6.02	16.8859	0.0183	1.401	17.0833	0.1042	16.4959	0.0134	0.311	16.5581	0.082	15.6226	0.0084	0.056	15.6653	0.0276	15.2475	0.0135	32.006	15.2747	0.0289	15.0843	0.0054	0.498	15.1065	0.0084	15.0145	0.0112	5.04	15.0482	0.0079	0.1232	11.0	406586211	246421364	0.05	1203886361	0.15	2160078801351053718	0.13	2848977	0.13	44059714	0.12					5785782849978053120	0.12	5785782845675307648	10.69
☄	16.23	406586211	218.520614	-78.098501	36	36	143404.94-780554.6	57199.427	0.0	308.27106	-16.304512	0	0	1	1	1	3.0			0		0			0		0			0		0			0		0	0	0	1	1	0			0		0	0.516	2	8.58																					19.3381	0.015	0.0	19.5246	0.2062						0.1232	11.0	406586208	246421364	11.04	1203886361	11.07	2160078801351053718	10.99	2848977	10.99	44059714	11.03					5785782776956342912	0.12	5785782849978053120	11.03
☄	22.81	406586214	218.471418	-78.102331	20	71	143353.14-780608.3	57233.3102	315.6088	308.2598	-16.30395	0	0	13	1	1	2.0			0		0	0	0	1	1	0	0	0	2	1	0	0	0	3	1	0	0	0	3	1	0	0	0	4	1	0	0.983	0	5.79						17.0548	0.0163	0.0	17.1342	0.1515	15.8603	0.0259	8.503	15.8293	0.0489	15.5217	0.0163	5.304	15.57	0.0208	15.2812	0.0062	0.491	15.3046	0.0099	15.2011	0.006	1.227	15.2241	0.0203	0.1232	12.8	406586213	246421367	0.14	1203886389	0.27	2160078801351053752	0.15	2846896	0.21	44059684	0.06					5785782815617799296	0.06	5785782811316083200	12.9
☄	23.77	406586212	218.497949	-78.10659	36	36	143359.50-780623.7	57199.427	0.0	308.2632	-16.310045	0	0	1	1	1	1.0			0		0			0		0			0		0			0		0	0	0	1	1	0			0		0	0.534	0	7.26																					19.2149	0.0283	0.0	19.2194	0.1437						0.1232	15.0						2160078801351054975	1.08			849012076	0.36					5785782742596597888	0.36	5785782811316076800	11.83
☄	29.09	406586210	218.535784	-78.096707	36	23	143408.58-780548.1	57218.9685	358.7192	308.2748	-16.304125	0	3	13	1	1	3.0			0		0			0		0	0	0	1	1	0	0	0	3	1	0	0	3	4	1	0	0	0	5	1	0	0.982	0	6.21											17.1206	0.0144	0.0	17.1473	0.1094	16.9738	0.046	32.776	16.9688	0.1074	16.7692	0.0192	8.09	16.8088	0.0283	16.6869	0.0136	4.917	16.8035	0.0401	0.1232	9.2	406586196	246421365	0.14	1203886362	0.1	2160078801351054710	0.11			143508100	0.14					5785782776956344704	0.14	5785782781255512704	8.38
☄	32.53	406586094	218.459217	-78.096694	70	94	143350.21-780548.0	57081.7539	171.5413	308.25974	-16.297777	0	0	3	1	1	1.0			0		0			0		0			0		0			0		0	0	0	1	1	0	0	0	2	1	0	0.857	0	9.24																					18.2285	0.0271	0.0	18.0396	0.0976	17.9283	0.0289	5.852	18.0295	0.1482	0.1232	15.0		246421277	0.24			2160078801351054555	0.1			534215038	0.43					5785782811316087168	0.43	5785782811321277824	4.08
☄	33.03	406586213	218.45572	-78.100892	35	68	143349.37-780603.2	57001.7105	223.4169	308.2573	-16.301334	0	0	4	1	1	3.0			0		0			0		0			0		0			0		0	0	0	1	1	0	0	0	3	1	0	0.938	0	6.38																					17.9821	0.0195	0.0	18.1758	0.0635	17.802	0.0558	14.209	18.0123	0.169	0.1232	12.8	406586214	246421366	0.12	1203886389	12.89	2160078801351056017	0.32	2846896	12.91	282450836	0.19					5785782811316083200	0.19	5785782815615248000	10.22
☄	35.55	406586196	218.538803	-78.094215	65	64	143409.31-780539.1	57199.4277	0.001	308.27643	-16.302094	0	0	2	1	1	2.0			0		0			0		0			0		0			0		0	0	0	1	1	0	0	0	1	1	0	0.491	2	10.23																					19.4647	0.0304	0.0	19.6776	0.2365	18.6292	0.0788	0.0	18.2756	0.1416	0.1232	9.2	406586210	246421365	9.37	1203886362	9.16	2160078801351055422	1.49			143508100	9.34					5785782781255512704	1.04	5785782776956344704	9.34
☄	36.27	406586093	218.501734	-78.089931	36	158	143400.41-780523.7	57199.4284	0.002	308.27094	-16.2951	0	0	2	2	1	3.0			0		0			0		0			0		0			0		0	0	0	2	1	0			0		0	0.587	2	7.59																					18.8636	0.0356	10.891	18.693	0.1599						0.1232	5.4	406586092	246421265	12.16			2160078801351055565	1.38			534215113	0.19					5785782849978052480	0.19	5785782845675831936	5.27
☄	40.83	406586092	218.505948	-78.088725	67	64	143401.42-780519.4	57199.4291	0.0014	308.27228	-16.294344	0	0	4	2	1	3.0			0		0			0		0			0		0			0		0	0	0	2	1	0	0	0	2	1	0	0.888	0	7.26																					18.4773	0.0095	0.955	18.4833	0.1012	18.2802	0.0183	0.196	18.1994	0.1638	0.1232	5.4	406586093	246421265	8.44			2160078801351055565	3.98			534215123	0.08					5785782845675831936	0.08	5785782849978052480	5.54
☄	42.42	406586075	218.517698	-78.088797	30	35	143404.24-780519.6	57199.4291	0.0014	308.27457	-16.295382	0	0	4	2	1	3.0			0		0			0		0			0		0			0		0	0	0	2	1	0	0	0	2	1	0	0.917	0	6.6																					18.3399	0.0188	0.009	18.5606	0.0476	18.4122	0.0271	4.056	18.6275	0.1194	0.1232	8.7	406586092	246421265	0.42			2160078801351054583	7.66			534215148	0.16					5785782849977539968	0.16	5785782845675831936	8.77
☄	45.03	406586215	218.442141	-78.103766	36	36	143346.11-780613.5	57199.4298	0.0	308.25342	-16.302847	0	0	1	1	1	2.0			0		0			0		0			0		0			0		0	0	0	1	1	0			0		0	0.637	0	7.26																					18.6223	0.0117	0.0	18.7901	0.1284						0.1232	14.4	406586213	246421366	14.43			2160078801351056012	1.86			534215008	0.22					5785782811316080768	0.22	5785782811316083200	14.28
☄	47.69	406586096	218.436147	-78.098546	27	30	143344.67-780554.7	57099.6822	138.7062	308.25443	-16.29757	0	0	16	3	1	1.0			0		0			0		0	0	0	3	1	0	0	0	4	1	0	0	0	4	1	0	0	0	5	1	0	0.983	0	5.81											17.1833	0.0411	29.533	17.2207	0.0784	16.5383	0.0261	14.839	16.5752	0.0386	16.0526	0.0125	5.494	16.0763	0.0145	15.8551	0.0173	11.151	15.8743	0.0351	0.1232	15.0		246421278	0.03	1203886372	0.05	2160078801351053824	0.2	2848211	0.14	143508035	0.17					5785782815617800576	0.17	5785782815615248000	6.74
☄	48.08	406586221	218.500821	-78.113354	27	112	143400.19-780648.0	57199.4291	0.0014	308.26096	-16.316477	0	0	4	2	1	1.0			0		0			0		0			0		0			0		0	0	0	2	1	0	0	0	2	1	0	0.72	0	7.42																					18.6624	0.0613	37.463	18.7461	0.0944	18.4451	0.0434	15.401	18.4923	0.1092	0.1232	15.0						2160078801351055039	0.86			534215111	0.18					5785782742596591232	0.18	5785782746895777280	12.13
☄	52.98	406586091	218.468876	-78.086758	36	36	143352.53-780512.3	57199.4298	0.0	308.26578	-16.289473	0	0	1	1	1	3.0			0		0			0		0			0		0			0		0	0	0	1	1	0			0		0	0.504	0	7.92																					18.98	0.0459	0.0	19.4658	0.181						0.1232	9.6	406586088	246421275	9.47	1203886330	9.51	2160078801351054404	9.51			849012040	0.39					5785783601590080128	0.39	5785783571529491200	8.15
☄	53.08	406586090	218.483897	-78.085635	36	36	143356.13-780508.2	57199.4312	0.0	308.26923	-16.289686	0	0	1	1	1	3.0			0		0			0		0			0		0			0		0			0		0	0	0	1	1	0	0.494	0	10.56																										18.2924	0.0192	0.0	18.3558	0.219	0.1232	11.9	406586091	246421276	12.66	1203886322	12.59	2160078801351053524	12.56	2853902	12.57	849012063	0.18					5785783605892296448	0.18	5785782849975144064	10.84
☄	54.25	406586197	218.571436	-78.096828	21	24	143417.14-780548.5	57088.9212	214.4609	308.28177	-16.307192	0	3	18	2	1	1.0	0	3	3	1	0	0	0	2	1	1	0	0	2	1	0	0	0	3	1	0	0	0	4	1	0	0	0	4	1	0	0.986	0	4.23	15.1601	0.0193	8.047	15.1303	0.0377	14.7531	0.0074	13.43	14.7808	0.0241	13.7048	0.0074	0.092	13.6939	0.0092	13.4363	0.0098	2.527	13.4413	0.0069	13.2769	0.0053	0.0	13.2874	0.0055	13.245	0.0053	0.988	13.2509	0.0147	0.1232	15.0		246421356	0.06	1203886364	0.02	2160078801351053532	0.08	2848807	0.14	44059756	0.1					5785782781258061056	0.1	5785782776959598208	5.69
☄	54.43	406586204	218.572561	-78.102181	77	33	143417.41-780607.8	57163.5137	235.7515	308.27975	-16.312187	0	0	7	3	1	1.0			0		0			0		0			0		0			0		0	0	0	4	1	0	0	0	3	1	2	0.974	0	7.01																					17.771	0.021	9.159	17.7892	0.0333	17.6852	0.0128	10.233	17.8642	0.1075	0.1232	15.0		246421360	0.08	1203886388	0.29	2160078801351054746	0.1			282450980	0.16					5785782781258059776	0.16	5785782781258576640	7.63
☄	55.42	406586222	218.475934	-78.114573	36	36	143354.22-780652.4	57199.4298	0.0	308.25555	-16.315538	0	0	1	1	1	1.0			0		0			0		0			0		0			0		0	0	0	1	1	0			0		0	0.524	0	6.6																					18.712	0.03	0.0	19.0583	0.1397						0.1232	15.0										534215065	0.12					5785782742596592256	0.12	5785782364639467904	13.13
☄	56.71	406586216	218.454831	-78.112709	34	25	143349.15-780645.7	57110.5161	142.2184	308.2522	-16.312088	0	2	22	2	1	1.0	0	0	2	1	0	0	0	4	1	0	0	2	3	1	0	0	0	4	1	0	0	0	4	1	0	0	0	5	1	0	0.984	0	6.12	17.0572	0.0604	23.482	17.0299	0.0986	16.6074	0.0244	6.596	16.7275	0.0736	14.8665	0.0102	2.609	14.8692	0.0284	14.3627	0.0056	1.122	14.3651	0.009	13.9852	0.0053	0.076	13.9948	0.0062	13.8211	0.0047	0.195	13.8488	0.0071	0.1232	15.0		246421368	0.06	1203886421	0.04	2160078801351053536	0.03	2843282	0.07	44059671	0.13					5785782437660674432	0.13	5785782368936152832	2.83
☄	57.41	406586223	218.518464	-78.115487	68	68	143404.43-780655.7	57199.4291	0.0014	308.26355	-16.31989	0	0	4	2	1	3.0			0		0			0		0			0		0			0		0	0	0	2	1	0	0	0	2	1	0	0.888	0	6.44																					18.462	0.0208	3.066	18.6315	0.0623	18.2815	0.0207	1.988	18.5415	0.1063	0.1232	12.0	406586225	246421372	0.32			2160078801351054666	13.42			534215151	0.15					5785782746898838400	0.15	5785782536438156160	11.9
☄	62.11	406586088	218.459847	-78.084866	58	54	143350.36-780505.5	57193.2379	204.2099	308.2648	-16.286991	0	0	10	2	1	2.0			0		0			0		0			0		0	0	0	2	1	0	0	0	4	1	0	0	0	4	1	0	0.972	0	7.43																17.6515	0.026	1.177	17.914	0.108	17.4017	0.0225	10.308	17.4297	0.0358	17.3204	0.0335	18.066	17.1853	0.112	0.1232	9.6	406586091	246421275	0.1	1203886330	0.1	2160078801351054404	0.23			282450843	0.12					5785783601590082816	0.12	5785783571529489664	4.06
☄	62.44	406586074	218.508976	-78.082754	36	36	143402.15-780457.9	57199.427	0.0	308.27536	-16.289125	0	0	1	1	1	1.0			0		0			0		0			0		0			0		0	0	0	1	1	0			0		0	0.566	0	8.58																					19.0994	0.017	0.0	19.1504	0.1678						0.1181	15.0										849012086	0.39					5785782845675837952	0.39		
☄	65.18	406586089	218.485309	-78.082149	20	18	143356.47-780455.7	57119.1438	216.1397	308.27097	-16.28661	0	10	17	2	1	2.0	0	3	3	1	0	0	3	3	1	0	0	2	2	1	0	0	0	2	1	0	0	0	3	1	0	0	2	4	1	0	0.988	0	4.1	14.6144	0.0248	15.449	14.6024	0.0216	14.1179	0.0122	3.997	14.1308	0.0187	13.2261	0.0125	2.748	13.2169	0.0081	13.0262	0.013	2.811	13.02	0.0079	12.8957	0.0063	0.012	12.9165	0.0062	12.8787	0.0053	0.663	12.8972	0.0068	0.1181	12.6	406586090	246421276	0.07	1203886322	0.1	2160078801351053524	0.05	2853902	0.11	44059701	0.11					5785783605892296064	0.11	5785783605892296448	12.65
☄	65.27	406586224	218.535941	-78.116548	40	31	143408.62-780659.5	57199.4291	0.0014	308.26654	-16.322308	0	0	4	2	1	5.0			0		0			0		0			0		0			0		0	0	0	2	1	0	0	0	2	1	0	0.956	0	5.61																					18.0201	0.0142	2.559	18.0695	0.0445	17.8641	0.0156	1.124	18.0486	0.0913	0.1232	5.8	406586225	246421373	0.09			2160078801351054666	0.48			534215191	0.12					5785782536438156032	0.12	5785782536438156160	6.13
☄	66.46	406586203	218.589527	-78.099861	74	28	143421.48-780559.4	57199.4291	0.0014	308.28406	-16.31147	0	0	4	2	1	1.0			0		0			0		0			0		0			0		0	0	0	2	1	0	0	0	2	1	0	0.843	0	7.59																					18.5398	0.0104	1.46	18.7016	0.0748	18.4629	0.1481	41.796	18.6969	0.2247	0.1232	15.0				1203886388	14.84					534215300	0.15					5785782776956338816	0.15		
☄	67.71	406586225	218.530524	-78.117727	184	68	143407.32-780703.8	57199.4284	0.002	308.26498	-16.322939	1	0	2	2	1	6.0			0		0			0		0			0		0			0		0	1	0	2	1	0			0		0	0.71	2	7.59																					18.8163	0.0935	57.623	18.776	0.0716						0.1232	5.8	406586224	246421373	5.93	1203886447	11.16	2160078801351054666	5.38			534215179	0.31					5785782536438156160	0.31	5785782536438156032	5.73
☄	67.95	406586097	218.40943	-78.102742	36	36	143338.26-780609.8	57199.4298	0.0	308.2474	-16.29921	0	0	1	1	1	1.0			0		0			0		0			0		0			0		0	0	0	1	1	0			0		0	0.526	0	10.56																					18.7731	0.0291	0.0	18.7087	0.1399						0.1232	15.0						2160078801351055433	3.64			534214938	0.03					5785783189273206144	0.03	5785783189273205376	12.74
☄	68.17	406586217	218.573445	-78.111378	8	20	143417.62-780640.9	57215.5325	166.2688	308.27606	-16.320679	3	1	13	2	1	4.0			0		0			0		0	3	0	2	1	0	3	0	2	1	0	3	0	4	1	0	3	1	5	1	0	0.983	14	4.64											15.5853	0.0099	0.814	15.5218	0.0808	15.2514	0.0141	2.867	15.2393	0.0355	15.0302	0.0064	0.321	14.9859	0.0129	14.9529	0.0062	1.324	14.924	0.0178	0.1232	2.1	406586218	246421369	0.05	888892511	0.22	2160078801351053607	0.29	2843762	0.36	44059758	0.1					5785782575099626496	0.1	5785782575099626240	4.45
☄	68.5	406586193	218.552345	-78.084335	25	29	143412.56-780503.6	57199.4291	0.0014	308.28323	-16.29417	0	0	4	2	1	2.0			0		0			0		0			0		0			0		0	0	0	2	1	1	0	0	2	1	1	0.972	0	5.44																					17.8432	0.0148	10.201	17.8987	0.0561	17.8014	0.0098	14.462	17.8317	0.0683	0.1181	14.9	406586073	246421351	0.14	1203886328	0.27	2160078801351055519	0.27	2852972	4.39	282450951	0.16					5785782953051713792	0.16	5785782948755048448	11.29
☄	68.56	406586218	218.572133	-78.111904	36	29	143417.31-780642.8	56864.3046	256.8302	308.27557	-16.321053	0	0	4	1	1	4.0			0		0			0		0	0	0	1	1	0	0	0	2	1	0	0	0	1	1	0			0		0	0.148	14	4.51											15.8106	0.1836	0.0	14.8881	0.0294	15.6219	0.1745	0.015	14.5519	0.017	15.3853	0.2642	0.0	14.2717	0.0106						0.1232	2.1	406586219	246421370	2.13	1203886420	2.27	2160078801351053606	2.12	2843348	2.45	44059758	2.18					5785782575099626496	2.18	5785782575099626240	2.33
☄	68.64	406586194	218.578901	-78.090071	26	34	143418.93-780524.2	57132.8907	124.3661	308.28607	-16.301626	0	4	17	3	1	1.0			0		0			0		0	0	0	3	1	0	0	0	3	1	1	0	4	5	1	0	0	0	6	1	0	0.978	0	5.49											16.8118	0.0165	3.614	16.8391	0.0616	16.0937	0.0079	7.724	16.0326	0.0345	15.5992	0.0056	1.077	15.4813	0.0166	15.398	0.0077	1.566	15.3022	0.0239	0.1181	15.0		246421353	0.05	888892433	0.14	2160078801351053666	0.2	2851221	0.24	44059763	0.23					5785782884337277440	0.23	5785782884332234752	0.85
☄	69.01	406586219	218.570817	-78.112427	27	31	143416.99-780644.7	57130.4181	162.5063	308.27512	-16.321423	3	3	22	2	1	4.0	0	1	4	1	0	2	0	4	1	0	3	0	2	1	0	3	0	2	1	0	3	0	4	1	0	3	2	6	1	0	0.984	14	6.45	16.8951	0.029	1.612	16.459	0.2022	16.6278	0.014	0.773	16.1925	0.1103	15.5143	0.0132	1.934	15.4768	0.0359	15.2202	0.0206	4.138	15.1605	0.0384	15.0458	0.0078	0.381	14.9683	0.014	14.969	0.0066	0.757	14.7945	0.0875	0.1232	2.1	406586218	246421370	0.01	1203886420	0.21	2160078801351053606	0.22	2843348	0.33	44059755	0.21					5785782575099626240	0.21	5785782575094580864	2.11
☄	72.19	406586418	218.447321	-78.116862	28	32	143347.35-780700.7	57099.6822	138.7062	308.249	-16.315273	0	2	16	3	1	1.0			0		0			0		0	0	0	3	1	0	0	0	4	1	0	0	0	4	1	0	0	2	5	1	0	0.981	0	6.13											17.0067	0.0375	18.862	17.0572	0.066	16.6964	0.038	22.275	16.7736	0.0461	16.4149	0.0196	7.774	16.49	0.0389	16.3316	0.008	1.93	16.4008	0.0269	0.1232	15.0		246421515	0.05	1203886433	0.22	2160078801351054083	0.03			143508046	0.18					5785782368941196800	0.18	5785782364639467904	10.96
☄	72.54	406586220	218.550929	-78.117202	36	36	143412.22-780701.9	57199.427	0.0	308.2692	-16.324146	0	0	1	1	1	3.0			0		0			0		0			0		0			0		0	0	0	1	1	0			0		0	0.494	0	10.56																					19.4347	0.0217	0.0	19.5148	0.1595						0.1232	11.4	406586224	246421373	11.34			2160078801351054666	11.5			534215191	11.44					5785782536438153600	0.29	5785782536438156032	11.44
☄	72.77	406586226	218.514377	-78.119995	46	35	143403.45-780711.9	57199.4291	0.0014	308.26083	-16.32368	0	0	4	2	1	3.0			0		0			0		0			0		0			0		0	0	0	2	1	0	0	0	2	1	0	0.915	0	6.27																					18.4235	0.0118	0.116	18.5852	0.0561	18.2244	0.0666	29.168	18.4292	0.1264	0.1232	7.7	406586227	246421374	0.23	1203886447	7.57	2160078801351054513	7.58			534215139	0.19					5785782536438152704	0.19	5785782536438151552	7.59
☄	76.33	406586227	218.524416	-78.120597	20	83	143405.85-780714.1	57319.2326	238.3777	308.26257	-16.325062	0	0	7	3	1	4.0			0		0			0		0			0		0			0		0	0	0	3	1	0	0	0	4	1	1	0.968	0	6.35																					17.855	0.0222	7.807	17.8912	0.0621	17.5936	0.0134	4.857	17.8342	0.0603	0.1232	7.7	406586226	246421375	0.35	1203886447	0.23	2160078801351054513	0.17			282450921	0.2					5785782536438151552	0.2	5785782536438152704	7.84
☄	76.83	406586317	218.402567	-78.107213	95	25	143336.61-780625.9	57199.4305	0.001	308.2442	-16.302742	0	0	2	1	1	1.0			0		0			0		0			0		0			0		0	0	0	1	1	0	0	0	1	1	0	0.777	0	7.59																					18.4293	0.0126	0.0	18.4864	0.0811	18.2343	0.0144	0.0	18.2799	0.175	0.1232	15.0		246421440	0.4			2160078801351055437	0.53			534214923	0.14					5785782433358958080	0.14	5785783189273205376	14.61
☄	77.99	406586195	218.598975	-78.09275	78	35	143423.75-780533.9	57264.8155	335.1156	308.2889	-16.305746	0	0	7	2	1	1.0			0		0			0		0			0		0			0		0	0	0	2	1	1	0	0	5	1	0	0.922	0	7.79																					18.004	0.014	14.807	18.1464	0.0877	17.5309	0.025	8.91	17.6898	0.0537	0.1181	15.0		246421355	0.15	888892444	0.06	2160078801351054154	0.44			534215318	0.08					5785782880035559680	0.08	5785782884332234240	11.64
☄	78.43	406586206	218.602655	-78.105173	35	59	143424.63-780618.6	57166.1116	209.2439	308.2844	-16.317423	0	0	10	5	1	2.0			0		0			0		0			0		0			0		0	0	0	5	1	0	0	0	5	1	0	0.978	0	6.27																					17.4202	0.0284	18.012	17.4593	0.023	17.0162	0.0066	0.166	17.0062	0.0405	0.1232	14.8	406586207	246421362	0.1	888892489	0.16	2160078801351054000	0.18			282451017	0.34					5785782575094583168	0.34	5785782575094583296	0.4
☄	79.02	406586255	218.542828	-78.120099	23	52	143410.27-780712.3	57315.2478	236.939	308.2664	-16.326128	0	0	7	3	1	5.0			0		0			0		0			0		0			0		0	0	0	3	1	0	0	0	4	1	0	0.973	0	6.85																					17.8047	0.0249	9.58	17.7966	0.0595	17.7301	0.0138	1.986	17.9034	0.0639	0.1232	12.0	406586220	246421395	0.15	1203886447	13.87	2160078801351055137	0.59			282450941	0.11					5785782536438151296	0.11	5785782536438153600	11.75
☄	80.72	406586251	218.586433	-78.113618	30	97	143420.74-780649.0	57199.4291	0.0014	308.27768	-16.323807	1	0	4	2	1	4.0			0		0			0		0			0		0			0		0	1	0	2	1	0	0	0	2	1	0	0.837	0	7.1																					18.5884	0.035	5.362	18.7187	0.1627	18.4342	0.0813	28.067	18.5556	0.2128	0.1232	12.3	406586218	246421371	5.98	1203886420	12.52	2160078801351053606	12.56	2843348	12.33	534215295	0.14					5785782570797399296	0.14	5785782575094580352	6.02
☄	81.64	406586207	218.600435	-78.109257	22	55	143424.10-780633.3	57199.4291	0.0014	308.28226	-16.320976	0	0	4	2	1	2.0			0		0			0		0			0		0			0		0	0	0	2	1	0	0	0	2	1	0	0.776	0	5.78																					18.091	0.0544	1.092	17.8626	0.042	17.8299	0.0428	0.359	17.5857	0.113	0.1232	14.8	406586206	246421363	0.49	1203886409	1.41	2160078801351054533	0.26			534215321	1.15					5785782570797898496	1.15	5785782575099626752	1.21
☄	81.93	406586095	218.389933	-78.098335	36	36	143333.58-780554.0	57199.4298	0.0	308.24542	-16.293564	0	0	1	1	1	1.0			0		0			0		0			0		0			0		0	0	0	1	1	0			0		0	0.523	0	7.92																					18.6873	0.0139	0.0	18.7229	0.1232						0.1232	15.0										534214898	0.22					5785783193574923392	0.22		
☄	83.37	406586073	218.561959	-78.080691	34	84	143414.87-780450.4	57199.4291	0.0014	308.28665	-16.291632	0	0	4	2	1	2.0			0		0			0		0			0		0			0		0	0	0	2	1	0	0	0	2	1	0	0.863	0	6.93																					18.5327	0.0243	4.026	18.6843	0.1048	18.3862	0.1319	46.333	18.7084	0.1985	0.1181	14.9	406586193	246421264	0.21							534215239	0.24					5785782948755052672	0.24	5785782948755048448	13.14
☄	84.0	406586228	218.488673	-78.123217	122	25	143357.28-780723.5	57199.4305	0.001	308.25446	-16.324509	0	0	2	1	1	1.0			0		0			0		0			0		0			0		0	0	0	1	1	0	0	0	1	1	0	0.741	0	5.94																					18.3264	0.0188	0.0	17.9958	0.0698	17.9466	0.0251	0.0	17.916	0.0924	0.1232	15.0		246421376	0.07	1203886452	0.4	2160078801351054565	0.43			534215089	0.13					5785782364639458944	0.13	5785782368938657792	3.86
☄	84.32	406586078	218.463932	-78.077792	33	68	143351.34-780440.0	57407.5266	303.3492	308.26855	-16.28085	1	0	3	1	1	2.0			0		0			0		0			0		0			0		0	1	0	2	1	0	0	0	1	1	0	0.919	3	7.26																					17.9171	0.1276	121.391	17.9692	0.0671	18.1362	0.0224	0.0	17.9491	0.1311	0.1181	11.2	406586079	246421267	0.13	1203886309	11.08	2160078801351053539	11.21	2855041	11.12	534215048	0.11					5785783601590089344	0.11	5785783605891786496	11.3
☄	84.79	406586072	218.54362	-78.078235	50	81	143410.46-780441.6	57199.4284	0.002	308.2841	-16.28786	0	0	2	2	1	1.0			0		0			0		0			0		0			0		0	0	0	2	1	0			0		0	0.531	0	9.9																					19.1706	0.0194	1.621	19.1936	0.1359						0.1181	15.0										849012123	0.18					5785782948755054848	0.18		
☄	85.37	406586079	218.449575	-78.078692	30	31	143347.89-780443.2	57084.7831	180.3661	308.26535	-16.280485	0	1	17	2	1	4.0			0		0	0	0	2	1	0	0	0	3	1	0	0	1	4	1	0	0	0	3	1	0	0	0	5	1	0	0.984	0	5.41						16.8724	0.0258	4.791	16.7766	0.1056	14.774	0.008	1.718	14.8023	0.0115	14.217	0.0105	3.85	14.2435	0.0076	13.8784	0.0064	0.141	13.8993	0.0139	13.7228	0.0047	0.891	13.7503	0.0094	0.1181	10.5	406586077	246421268	0.03	1203886309	0.08	2160078801351053539	0.06	2855041	0.04	44059669	0.16					5785783605891786496	0.16	5785783567230351232	10.9
☄	85.96	406586205	218.615752	-78.099352	28	34	143427.78-780557.6	57110.765	130.4206	308.28943	-16.313183	2	3	18	3	1	2.0			0		0			0		0	0	0	3	1	0	0	3	4	1	0	2	0	5	1	0	0	0	6	1	0	0.983	0	5.4											16.59	0.0088	0.325	16.5586	0.0955	16.2306	0.0187	10.867	16.2121	0.0344	16.0201	0.0115	5.08	16.0212	0.0218	15.9444	0.0078	2.369	15.9679	0.013	0.1232	7.6	406586202	246421361	0.03	888892472	0.28	2160078801351053959	0.12	2847965	0.27	44059783	0.11					5785782673877124608	0.11	5785782678176302080	5.93
☄	87.6	406586202	218.617238	-78.097263	148	241	143428.13-780550.1	57199.4277	0.001	308.2906	-16.311394	3	0	2	1	1	3.0			0		0			0		0			0		0			0		0	3	0	1	1	0	1	0	1	1	0	0.504	3	7.59																					18.6932	0.0578	0.0	18.5699	0.119	18.5705	0.068	0.0	18.6043	0.2049	0.1232	7.6	406586205	246421361	7.58	888892472	7.53	2160078801351053959	7.49	2847965	7.35	534215362	0.63					5785782678178845440	0.63	5785782678176302080	1.79
☄	90.45	406586085	218.404459	-78.084423	16	142	143337.07-780503.9	56964.077	117.677	308.25406	-16.28201	0	0	6	1	1	2.0			0		0			0		0	0	0	1	1	0	0	0	1	1	0	0	0	2	1	0	0	0	2	1	0	0.97	0	8.5											17.997	0.0151	0.0	18.176	0.1599	17.6337	0.021	0.0	17.6347	0.1189	17.3864	0.01	0.527	17.4005	0.1419	17.2644	0.0488	29.217	17.2887	0.0685	0.1232	14.7	406586083	246421273	0.29	1203886327	0.13	2160078801351054953	0.24			282450779	0.23					5785783640251524224	0.23	5785783640248567808	11.3
