,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,6.45,274681063,274.36344,-4.905779,107,39,181727.22-045420.8,57118.1247,0,0,4,2,1,0.929,,,,,,,,,,,,,,,,,17.1046,0.0135,17.1345,0.0681,16.6354,0.0985,16.5599,0.1703,15,
☄,16.2,274681065,274.358505,-4.90215,35,111,181726.04-045407.7,57069.6687,0,0,3,1,1,0.899,,,,,,,,,,,,,,,,,17.4199,0.0165,17.5326,0.1113,16.8251,0.0247,16.839,0.1069,6.7,274681066
☄,18.23,274681066,274.359186,-4.900409,133,97,181726.20-045401.4,56972.7568,0,0,2,1,1,0.643,,,,,,,,,,,,,,,,,17.8478,0.0623,17.4755,0.1287,17.0484,0.0204,16.9043,0.125,6.7,274681065
☄,21.89,274681067,274.368214,-4.902113,62,70,181728.37-045407.6,57083.2965,0,0,6,1,1,0.981,,,,,,,,,17.7641,0.0164,17.9024,0.1241,16.6635,0.0146,16.8248,0.1071,15.6602,0.0273,15.7166,0.0253,15.1608,0.0302,15.1947,0.0337,9.8,274681074
☄,23.23,274681064,274.356041,-4.90376,25,85,181725.44-045413.5,56972.7568,0,0,2,1,1,0.78,,,,,,,,,,,,,,,,,17.7389,0.0141,17.7027,0.1631,17.161,0.022,17.3785,0.1389,10.6,274681065
☄,27.26,274681071,274.369877,-4.906066,51,32,181728.77-045421.8,56972.7568,0,0,2,1,1,0.525,,,,,,,,,,,,,,,,,17.9385,0.0414,17.9345,0.2106,17.3799,0.0286,17.2891,0.1829,14.2,274681074
☄,29.32,274680748,274.354627,-4.906441,65,43,181725.11-045423.1,57069.6687,0,0,3,1,1,0.876,,,,,,,,,,,,,,,,,17.4872,0.0328,17.7987,0.1438,16.8405,0.072,17.1337,0.2129,10.9,274681064
☄,31.12,274681074,274.370947,-4.902278,35,134,181729.02-045408.2,57069.6687,0,0,3,1,1,0.956,,,,,,,,,,,,,,,,,17.1785,0.0184,17.331,0.0875,16.4583,0.0444,16.3653,0.05,9.8,274681067
☄,33.42,274681049,274.357115,-4.911826,32,33,181725.70-045442.5,57083.2965,0,0,6,1,1,0.982,,,,,,,,,17.7458,0.0131,17.8477,0.1644,16.6462,0.0174,16.7686,0.1285,15.7774,0.0289,15.8574,0.0324,15.3171,0.0295,15.3783,0.0241,9.2,274681048
☄,34.29,274698046,274.359089,-4.895352,24,34,181726.18-045343.2,57147.1981,0,0,5,1,1,0.982,,,,,,,,,,,,,16.864,0.0343,17.0765,0.1481,15.7262,0.0168,15.8035,0.1093,15.0086,0.0093,15.0778,0.0172,11.5,274698045
☄,36.99,274681051,274.366222,-4.913831,39,31,181727.89-045449.7,56972.7568,0,0,2,1,1,0.803,,,,,,,,,,,,,,,,,17.644,0.0187,17.6349,0.1272,16.8723,0.0303,16.5611,0.0745,8,274681050
☄,37.44,274680747,274.354021,-4.910318,25,25,181724.96-045437.1,56972.7568,0,0,2,1,1,0.59,,,,,,,,,,,,,,,,,17.9501,0.0241,18.1474,0.1772,17.3467,0.0322,17.6272,0.1376,12.4,274681049
☄,40.19,274681048,274.357646,-4.914312,67,25,181725.83-045451.5,56972.7568,0,0,2,1,1,0.735,,,,,,,,,,,,,,,,,17.7474,0.0558,18.0124,0.1454,17.0619,0.0243,17.1143,0.1158,7.5,274681046
☄,41.92,274698045,274.355971,-4.894592,35,34,181725.43-045340.5,57069.6687,0,0,3,1,1,0.922,,,,,,,,,,,,,,,,,17.2501,0.0131,17.3415,0.0883,16.7282,0.0346,16.8277,0.0738,10.2,274697764
☄,42.09,274680752,274.35103,-4.901782,25,54,181724.24-045406.4,56972.7568,0,0,2,1,1,0.972,,,,,,,,,,,,,,,,,16.8649,0.0169,16.9584,0.0673,16.0823,0.012,16.0916,0.0476,7.9,274680750
☄,43.16,274681046,274.359138,-4.915762,196,67,181726.19-045456.7,57118.1247,2,0,4,2,1,0.975,,,,,,,,,,,,,,,,,16.3107,0.0087,16.1964,0.2825,15.6644,0.0209,15.353,0.1139,5.1,274681047
☄,43.52,274681069,274.373828,-4.908581,33,77,181729.71-045430.8,57069.6687,0,0,3,1,1,0.686,,,,,,,,,,,,,,,,,17.5552,0.151,17.0804,0.1175,16.8322,0.0386,16.6558,0.0727,8.1,274681070
☄,43.91,274681075,274.373944,-4.899917,39,34,181729.74-045359.7,57069.6687,0,0,3,1,1,0.81,,,,,,,,,,,,,,,,,17.5287,0.0378,17.371,0.1126,16.9362,0.0124,17.1734,0.2649,13.7,274681074
☄,44.32,274681050,274.366048,-4.916043,34,67,181727.85-045457.7,57118.1247,0,0,4,2,1,0.982,,,,,,,,,,,,,,,,,16.0185,0.0086,16.1209,0.031,15.3315,0.0306,15.3735,0.0207,8,274681051
☄,44.79,274681047,274.360353,-4.916507,36,36,181726.48-045459.4,56763.7892,0,0,1,1,1,0.679,,,,,,,,,,,,,,,,,17.9383,0.049,18.1541,0.1116,,,,,5.1,274681046
☄,46.02,274681072,274.375165,-4.906291,54,65,181730.03-045422.6,56972.7568,0,0,2,1,1,0.52,,,,,,,,,,,,,,,,,17.9535,0.0294,17.9141,0.177,17.3122,0.0112,17.2195,0.1681,9.5,274681069
☄,47.59,274698047,274.368429,-4.892423,34,63,181728.42-045332.7,57069.6687,0,0,3,1,1,0.906,,,,,,,,,,,,,,,,,17.5014,0.0161,17.6552,0.1243,16.723,0.0606,16.8502,0.0661,7.6,274698048
☄,48.85,274697762,274.350731,-4.897421,44,121,181724.17-045350.7,56972.7568,3,0,2,1,1,0.903,,,,,,,,,,,,,,,,,17.34,0.036,17.6906,0.1485,16.59,0.0159,16.4201,0.0846,5,274697761
☄,49.51,274698048,274.366719,-4.891154,25,165,181728.01-045328.1,56972.7568,0,0,2,1,1,0.547,,,,,,,,,,,,,,,,,18.0776,0.0234,18.2054,0.2288,17.402,0.017,16.6815,0.11,7.6,274698047
☄,49.71,274681045,274.358677,-4.917524,62,65,181726.08-045503.0,57069.6687,3,0,3,1,1,0.897,,,,,,,,,,,,,,,,,17.4785,0.0373,17.4574,0.096,16.7167,0.0245,16.6704,0.072,6.6,274681046
☄,49.94,274680750,274.348845,-4.901547,25,214,181723.72-045405.5,56972.7568,0,0,2,1,1,0.559,,,,,,,,,,,,,,,,,17.9688,0.0647,17.867,0.1842,17.3949,0.0245,17.2027,0.1188,7.9,274680752
☄,50.43,274680746,274.348892,-4.907771,76,25,181723.73-045427.9,56972.7568,0,0,2,1,1,0.603,,,,,,,,,,,,,,,,,17.7916,0.0159,17.7084,0.1442,17.1398,0.0114,17.0992,0.1088,14,274680738
☄,50.76,274681068,274.374728,-4.911349,84,92,181729.93-045440.8,56972.7568,0,0,2,1,1,0.641,,,,,,,,,,,,,,,,,17.8246,0.0262,17.9055,0.1735,17.0992,0.0161,17.3512,0.1599,10,274681070
☄,51.31,274697764,274.353548,-4.893132,39,25,181724.85-045335.2,56972.7568,0,0,2,1,1,0.671,,,,,,,,,,,,,,,,,17.8444,0.0304,18.0549,0.1953,17.2152,0.0515,17.7439,0.1713,10.2,274698045
☄,51.46,274681070,274.376061,-4.908916,133,129,181730.25-045432.0,56972.7568,0,0,2,1,1,0.66,,,,,,,,,,,,,,,,,17.8106,0.0369,17.5101,0.1307,17.2007,0.0323,17.3928,0.1698,8.1,274681069
☄,51.69,274681041,274.362676,-4.918608,124,389,181727.04-045506.9,56972.7568,0,0,2,1,1,0.853,,,,,,,,,,,,,,,,,17.7753,0.0445,17.9582,0.164,17.3448,0.0283,17.5388,0.1417,11.3,274681047
☄,51.75,274681076,274.376847,-4.902738,56,36,181730.44-045409.8,57222.6085,3,0,4,2,2,0.075,,,,,,,,,,,,,,,,,,,,,16.1997,0.0867,15.7286,0.0467,14.1,274681072
☄,53.04,274680738,274.349674,-4.911582,25,34,181723.92-045441.6,56972.7568,0,0,2,1,1,0.968,,,,,,,,,,,,,,,,,16.7848,0.0172,16.9234,0.0684,16.0243,0.0156,16.1788,0.0506,9.6,274680737
☄,53.34,274697761,274.349996,-4.89623,25,27,181723.99-045346.4,56972.7568,3,0,2,1,1,0.957,,,,,,,,,,,,,,,,,16.9914,0.0124,17.11,0.088,16.4511,0.0111,16.4493,0.0698,5,274697762
☄,53.72,274680737,274.351047,-4.913866,56,155,181724.25-045449.9,56972.7568,0,0,2,1,1,0.435,,,,,,,,,,,,,,,,,17.4605,0.0578,17.4129,0.1973,16.8535,0.0425,16.4975,0.0926,9.6,274680738
☄,55.87,274681073,274.377749,-4.907421,36,36,181730.65-045426.7,57181.7243,0,0,1,1,1,0.403,,,,,,,,,,,,,,,,,,,,,17.7043,0.0167,17.9508,0.1519,8.1,274681070
☄,55.97,274697759,274.348733,-4.896931,36,36,181723.69-045348.9,57181.7243,1,0,1,1,1,0.573,,,,,,,,,,,,,,,,,,,,,17.4268,0.0232,17.6724,0.2202,5.2,274697761
☄,60.3,274681044,274.367622,-4.920204,35,124,181728.22-045512.7,57069.6687,0,0,3,1,1,0.92,,,,,,,,,,,,,,,,,17.3326,0.0151,17.4171,0.0931,16.6888,0.014,16.7712,0.1028,13.5,274681052
☄,61.26,274680734,274.355589,-4.919812,25,100,181725.34-045511.3,57118.1247,0,0,4,2,1,0.975,,,,,,,,,,,,,,,,,16.5626,0.0354,16.6668,0.0466,15.9031,0.0413,16.0349,0.0771,11.1,274680733
☄,62.2,274697763,274.349625,-4.892677,84,67,181723.91-045333.6,56972.7568,0,0,2,1,1,0.543,,,,,,,,,,,,,,,,,18.2125,0.0311,18.3783,0.2261,17.3628,0.019,17.3204,0.159,9.1,274697767
☄,62.71,274681060,274.375645,-4.915735,34,84,181730.15-045456.6,57118.1247,0,0,4,2,1,0.958,,,,,,,,,,,,,,,,,17.0887,0.0766,17.2963,0.0751,16.4923,0.0358,16.6016,0.0652,11,274681059
☄,63.45,274680749,274.344958,-4.901973,69,25,181722.78-045407.1,56972.7568,0,0,2,1,1,0.51,,,,,,,,,,,,,,,,,18.1634,0.0408,18.6008,0.2412,17.4364,0.023,17.5508,0.1421,13,274680751
☄,63.5,274680745,274.344864,-4.905779,37,71,181722.76-045420.8,56972.7568,0,0,2,1,1,0.971,,,,,,,,,,,,,,,,,16.8782,0.0195,16.8915,0.073,16.3638,0.0116,16.4377,0.0692,13.7,274680749
☄,63.62,274680736,274.346676,-4.912234,56,107,181723.20-045444.0,56972.7568,0,0,2,1,1,0.497,,,,,,,,,,,,,,,,,18.035,0.0258,18.3706,0.1987,17.5301,0.0183,17.347,0.1404,11,274680738
☄,63.84,274697767,274.351099,-4.890633,334,174,181724.26-045326.2,56972.7568,0,0,2,1,1,0.497,,,,,,,,,,,,,,,,,18.0184,0.1278,17.1998,0.1348,17.5909,0.0959,17.1046,0.1536,9.1,274697763
☄,64.87,274681059,274.373887,-4.91825,45,27,181729.73-045505.7,56972.7568,0,0,2,1,1,0.502,,,,,,,,,,,,,,,,,18.1804,0.0438,18.4862,0.2026,17.4117,0.0238,17.3519,0.1369,7,274681055
☄,65.54,274698051,274.365062,-4.886223,45,24,181727.61-045310.4,57065.8824,0,0,8,1,1,0.994,,,,,16.5302,0.0221,16.8666,0.1431,14.1458,0.0074,14.1517,0.0193,13.2209,0.0105,13.2193,0.0118,11.8499,0.0085,11.8459,0.0263,11.2999,0.0079,11.3013,0.0074,10,274698050
☄,66.94,274697768,274.355849,-4.886876,29,27,181725.40-045312.7,57069.6687,0,0,3,1,1,0.841,,,,,,,,,,,,,,,,,17.4569,0.0605,17.3898,0.1515,16.7913,0.01,16.8377,0.1472,8.5,274698049
☄,67.29,274681040,274.362569,-4.922942,25,25,181727.01-045522.5,56972.7568,0,0,2,1,1,0.941,,,,,,,,,,,,,,,,,17.3204,0.0554,17.6898,0.1292,17.1834,0.0184,17.3912,0.126,6.7,274681042
☄,67.49,274681042,274.36445,-4.922896,52,44,181727.46-045522.4,57118.1247,0,0,4,2,1,0.897,,,,,,,,,,,,,,,,,17.2752,0.023,17.5552,0.2424,16.732,0.0128,16.8037,0.2226,6.7,274681040
☄,68.76,274681055,274.373215,-4.920088,44,35,181729.57-045512.3,57118.1247,1,0,4,2,1,0.958,,,,,,,,,,,,,,,,,16.7173,0.0252,16.6705,0.1621,16.1487,0.0515,15.8972,0.0413,7,274681059
☄,69.26,274681054,274.371514,-4.921263,18,46,181729.16-045516.5,57083.2965,1,0,6,1,1,0.985,,,,,,,,,17.5272,0.0196,17.5432,0.1398,16.4422,0.011,16.2793,0.0888,15.5647,0.0143,15.6719,0.0229,15.0795,0.037,15.1612,0.0182,7.4,274681055
☄,70.03,274698050,274.362669,-4.884798,36,36,181727.04-045305.2,56763.7892,0,4,1,1,1,0.565,,,,,,,,,,,,,,,,,16.2307,0.0398,16.0195,0.0523,,,,,7.7,274698056
☄,71.41,274680751,274.343376,-4.898731,566,50,181722.41-045355.4,56972.7568,2,0,2,1,1,0.592,,,,,,,,,,,,,,,,,17.8972,0.0686,17.8031,0.1168,17.4746,0.1356,17.1211,0.1594,13,274680749
☄,72.12,274680733,274.354994,-4.922835,50,134,181725.19-045522.2,56972.7568,0,0,2,1,1,0.549,,,,,,,,,,,,,,,,,17.9656,0.031,17.9785,0.1273,17.338,0.0204,17.6614,0.168,11.1,274680734
☄,72.23,274698052,274.377734,-4.891127,48,79,181730.65-045328.0,56972.7568,3,0,2,1,1,0.982,,,,,,,,,,,,,,,,,16.0251,0.0116,16.0385,0.0434,15.1779,0.0133,15.0936,0.0236,5,274698054
☄,72.46,274697765,274.347767,-4.890479,49,48,181723.46-045325.7,56903.1007,0,0,3,1,1,0.981,,,,,,,,,17.1628,0.0184,17.2371,0.1217,,,,,15.1961,0.025,15.1258,0.0219,14.6928,0.0222,14.6375,0.0189,8.7,274697766
☄,73.12,274681052,274.369963,-4.92315,42,66,181728.79-045523.3,57118.1247,0,0,4,2,1,0.976,,,,,,,,,,,,,,,,,16.6961,0.0282,16.7954,0.0814,15.9819,0.0454,15.9987,0.0847,7.6,274681043
☄,73.54,274698049,274.356667,-4.884666,213,152,181725.60-045304.7,56972.7568,0,0,2,1,1,0.55,,,,,,,,,,,,,,,,,18.0101,0.0355,17.907,0.1318,17.4578,0.0693,16.8323,0.1113,8.5,274697768
☄,74.4,274681056,274.375326,-4.920493,35,140,181730.07-045513.7,57069.6687,0,0,3,1,1,0.906,,,,,,,,,,,,,,,,,17.375,0.0251,17.514,0.1089,16.7312,0.0147,16.832,0.0648,7.7,274681055
☄,74.5,274681039,274.359242,-4.924689,37,38,181726.21-045528.8,57069.6687,0,0,3,1,1,0.854,,,,,,,,,,,,,,,,,17.5369,0.0401,17.4006,0.1052,16.8588,0.0156,16.8621,0.1227,13.5,274681040
☄,75.12,274697760,274.344817,-4.893067,25,42,181722.75-045335.0,56972.7568,0,0,2,1,1,0.928,,,,,,,,,,,,,,,,,17.3707,0.0285,17.6221,0.1233,16.6427,0.0166,16.7417,0.0713,14.1,274697765
☄,75.71,274681043,274.368301,-4.924471,36,36,181728.39-045528.0,56763.7892,0,0,1,1,1,0.578,,,,,,,,,,,,,,,,,18.1562,0.0368,18.5549,0.2222,,,,,7.6,274681052
☄,76.16,274680735,274.345828,-4.917351,91,33,181722.99-045502.4,56972.7568,0,0,2,1,1,0.863,,,,,,,,,,,,,,,,,17.4014,0.016,17.5989,0.1065,17.0864,0.0194,17.1935,0.1117,14.7,274680732
☄,76.84,274698056,274.36162,-4.882924,66,201,181726.78-045258.5,57069.6687,1,0,3,1,1,0.913,,,,,,,,,,,,,,,,,17.5364,0.0373,17.7346,0.1171,16.961,0.0183,16.5283,0.3554,7.6,274698058
☄,77.26,274698054,274.378872,-4.890305,42,59,181730.92-045325.0,57083.2965,3,0,6,1,1,0.983,,,,,,,,,17.8895,0.0146,17.8078,0.164,16.661,0.0197,16.2792,0.0917,15.0749,0.0306,14.9518,0.2241,14.2243,0.0341,14.1122,0.1528,5,274698052
☄,78.19,274681099,274.384023,-4.90081,83,112,181732.16-045402.9,56972.7568,0,0,2,1,1,0.666,,,,,,,,,,,,,,,,,17.6821,0.0187,17.699,0.1227,17.1089,0.0184,17.3736,0.1583,15,
☄,79.35,274697766,274.347459,-4.888088,41,25,181723.39-045317.1,56972.7568,0,0,2,1,1,0.912,,,,,,,,,,,,,,,,,17.3008,0.0243,17.4745,0.1208,16.8157,0.0192,16.7474,0.0806,8.7,274697765
☄,79.8,274681061,274.380159,-4.917733,20,31,181731.23-045503.8,57109.0387,0,0,7,1,1,0.985,,,,,,,,,16.3446,0.0088,16.3852,0.0468,14.7815,0.0105,14.7605,0.0274,13.3914,0.0077,13.4095,0.0321,12.6227,0.0212,12.6263,0.0104,13.2,274681062
☄,79.98,274681005,274.364384,-4.926386,35,71,181727.45-045534.9,57069.6687,0,0,3,1,1,0.917,,,,,,,,,,,,,,,,,17.6245,0.0211,17.8006,0.1482,16.8342,0.0525,16.8251,0.2506,11.6,274681004
☄,80.92,274681053,274.375249,-4.922796,36,36,181730.05-045522.0,57181.7243,0,0,1,1,1,0.495,,,,,,,,,,,,,,,,,,,,,17.5645,0.0235,17.6617,0.1355,8.3,274681056
☄,81.3,274681095,274.385136,-4.905392,32,46,181732.43-045419.4,57069.6687,0,0,3,1,1,0.904,,,,,,,,,,,,,,,,,17.5143,0.0395,17.9153,0.1567,16.8981,0.0421,16.9732,0.0749,12.8,274681094
☄,81.54,274680732,274.347348,-4.921134,36,36,181723.36-045516.0,56763.7892,0,0,1,1,1,0.479,,,,,,,,,,,,,,,,,18.1611,0.0312,18.3757,0.2147,,,,,11.1,274680731
☄,82.27,274698058,274.363108,-4.881404,36,36,181727.14-045253.0,56763.7892,0,0,1,1,1,0.776,,,,,,,,,,,,,,,,,17.6173,0.0521,18.1649,0.2372,,,,,7.6,274698056
☄,82.6,274698059,274.366459,-4.881647,27,48,181727.95-045253.9,57118.1245,2,0,4,1,1,0.979,,,,,,,,,,,,,16.6561,0.0179,16.9481,0.1395,15.1066,0.0082,15.1681,0.0408,14.2565,0.0105,14.2633,0.0142,12.1,274698058
☄,84.13,274698053,274.376443,-4.885459,715,564,181730.34-045307.6,56972.7568,0,0,2,1,1,0.498,,,,,,,,,,,,,,,,,18.2548,0.0232,18.337,0.1972,17.5971,0.1762,16.6583,0.1246,13.2,274698062
☄,84.22,274681094,274.385506,-4.908928,28,85,181732.52-045432.1,57118.1247,0,0,4,2,1,0.976,,,,,,,,,,,,,,,,,16.4328,0.0101,16.5871,0.0493,15.7169,0.0114,15.8282,0.0291,12.8,274681095
☄,88.64,274680686,274.352241,-4.926651,36,36,181724.53-045535.9,56763.7892,0,0,1,1,1,0.498,,,,,,,,,,,,,,,,,18.2604,0.0547,17.9341,0.1717,,,,,8.9,274680684
☄,88.65,274681062,274.383731,-4.916857,20,32,181732.09-045500.6,57083.2965,0,0,6,1,1,0.981,,,,,,,,,17.9465,0.0395,17.6733,0.1657,16.6367,0.0131,16.8503,0.1169,15.4221,0.0089,15.4334,0.0232,14.7495,0.0119,14.7411,0.0173,13.2,274681061
☄,89.95,274698055,274.381667,-4.888139,503,218,181731.60-045317.3,57069.6687,3,0,3,1,1,0.857,,,,,,,,,,,,,,,,,17.6104,0.024,17.7369,0.1248,16.9863,0.0871,16.4242,0.0723,12.7,274698054
☄,90.17,274680743,274.338066,-4.910138,25,69,181721.13-045436.4,56972.7568,0,0,2,1,1,0.403,,,,,,,,,,,,,,,,,16.6081,0.1239,16.2193,0.0577,15.6706,0.0648,15.3953,0.0324,14.4,274680739
☄,91.48,274681009,274.372037,-4.927817,25,219,181729.28-045540.1,56972.7568,0,0,2,1,1,0.526,,,,,,,,,,,,,,,,,18.1495,0.085,17.589,0.1677,17.8019,0.027,17.8609,0.1407,15,
☄,91.5,274681004,274.364911,-4.929552,24,30,181727.57-045546.3,57083.2965,0,0,6,1,1,0.983,,,,,,,,,17.909,0.0396,18.3074,0.1793,16.716,0.0202,16.7345,0.1165,15.5623,0.0081,15.6397,0.0585,14.9455,0.0281,14.9772,0.0225,11.6,274681005
☄,92.02,274680731,274.34458,-4.922541,25,66,181722.69-045521.1,56972.7568,0,0,2,1,1,0.981,,,,,,,,,,,,,,,,,16.0982,0.0192,16.2575,0.0431,15.3145,0.0114,15.4021,0.0263,9.9,274680730
☄,92.24,274680682,274.348875,-4.925982,25,172,181723.73-045533.5,56972.7568,0,0,2,1,1,0.741,,,,,,,,,,,,,,,,,17.9375,0.0208,17.955,0.1562,17.3696,0.0332,17.112,0.1372,6.4,274680681
☄,93.69,274681097,274.388621,-4.904361,25,25,181733.26-045415.6,56972.7568,0,0,2,1,1,0.805,,,,,,,,,,,,,,,,,17.6653,0.0197,17.8836,0.1391,17.1126,0.0211,17.3556,0.13,7.5,274681098
☄,96.54,274680681,274.347126,-4.926262,36,36,181723.31-045534.5,56763.7892,0,0,1,1,1,0.486,,,,,,,,,,,,,,,,,18.4321,0.0284,18.5714,0.2542,,,,,6.4,274680682
☄,97,274698060,274.363675,-4.87733,18,63,181727.28-045238.3,57096.9242,0,8,6,1,1,0.991,,,,,13.7172,0.0105,13.7481,0.0146,11.3353,0.0094,11.3258,0.0074,10.5045,0.0105,10.494,0.0105,9.8808,0.0141,9.8443,0.0105,9.648,0.0109,9.6221,0.0105,14.8,274698058
☄,97.29,274698062,274.378971,-4.882777,35,41,181730.95-045257.9,57069.6687,0,0,3,1,1,0.952,,,,,,,,,,,,,,,,,17.3484,0.0211,17.5311,0.194,16.4864,0.0492,16.4352,0.0567,13.2,274698053
☄,97.34,274681057,274.380618,-4.924382,48,54,181731.34-045527.7,57118.1247,0,0,4,2,1,0.978,,,,,,,,,,,,,,,,,16.5361,0.0316,16.6081,0.0488,15.8335,0.0279,15.9288,0.0313,8.7,274681058
☄,97.49,274680684,274.351392,-4.928965,53,77,181724.33-045544.2,56972.7568,0,0,2,1,1,0.919,,,,,,,,,,,,,,,,,17.3177,0.0143,17.3783,0.1147,16.9463,0.0236,17.1501,0.1017,8.9,274680686
☄,97.49,274680685,274.353715,-4.929877,36,36,181724.89-045547.5,57181.7243,0,0,1,1,1,0.407,,,,,,,,,,,,,,,,,,,,,17.6041,0.0179,17.8232,0.1865,9,274680684
☄,97.67,274698057,274.356757,-4.877731,36,36,181725.62-045239.8,56763.7892,0,0,1,1,1,0.567,,,,,,,,,,,,,,,,,18.2133,0.0496,18.592,0.329,,,,,15,
☄,98.33,274681098,274.389869,-4.902693,28,24,181733.56-045409.6,57083.2965,0,0,6,1,1,0.98,,,,,,,,,18.0691,0.0175,18.1589,0.2026,16.9855,0.0483,17.6671,0.2086,16.1069,0.0241,16.2126,0.0357,15.6048,0.009,15.6885,0.0397,7.5,274681097
☄,98.81,274680726,274.340247,-4.920432,36,36,181721.65-045513.5,57181.7243,0,0,1,1,1,0.384,,,,,,,,,,,,,,,,,,,,,17.6993,0.03,17.7172,0.1229,15,
☄,99.14,274681058,274.382674,-4.923077,69,124,181731.84-045523.0,57069.6687,0,0,3,1,1,0.848,,,,,,,,,,,,,,,,,17.7091,0.0524,17.3766,0.1316,16.8898,0.0246,16.545,0.0697,8.7,274681057
☄,99.15,274681100,274.38966,-4.899126,36,36,181733.51-045356.8,56763.7892,0,0,1,1,1,0.443,,,,,,,,,,,,,,,,,18.4693,0.0282,18.4666,0.2521,,,,,12.9,274681098
☄,99.66,274680729,274.337264,-4.915833,36,36,181720.94-045456.9,57181.7243,0,0,1,1,1,0.526,,,,,,,,,,,,,,,,,,,,,17.4245,0.0325,17.7744,0.1685,9.5,274680728
☄,100.33,274681083,274.389299,-4.912232,26,25,181733.43-045444.0,57147.1981,0,0,5,1,1,0.983,,,,,,,,,,,,,15.9037,0.0141,16.0915,0.0686,14.0324,0.0166,14.0683,0.0361,13.0942,0.0131,13.1062,0.0177,11.3,274681085
☄,100.72,274680730,274.343907,-4.925216,21,59,181722.53-045530.7,56903.1007,0,0,3,1,1,0.982,,,,,,,,,17.1286,0.0121,17.1009,0.0946,,,,,15.4519,0.0209,15.4553,0.026,14.9773,0.0146,14.9524,0.0202,9.9,274680731
☄,103.31,274681011,274.379585,-4.927355,33,36,181731.10-045538.4,57069.6687,0,0,3,1,1,0.885,,,,,,,,,,,,,,,,,17.5355,0.024,17.7206,0.113,16.9189,0.0139,17.1784,0.1552,11.3,274681057
☄,104.56,274680739,274.334132,-4.910935,73,28,181720.19-045439.3,56972.7568,3,0,2,1,1,0.973,,,,,,,,,,,,,,,,,16.8343,0.0146,16.9356,0.077,15.9922,0.0179,16.1355,0.0581,5.3,274680727
☄,106.18,274681002,274.360515,-4.933679,39,50,181726.52-045601.2,57147.1981,0,0,5,1,1,0.979,,,,,,,,,,,,,17.1203,0.0214,17.3066,0.092,15.9295,0.0094,15.9318,0.0303,15.2905,0.0086,15.2554,0.0385,13.2,274681001
☄,106.37,274681082,274.389698,-4.91603,27,72,181733.52-045457.7,57065.8824,3,0,8,1,1,0.983,,,,,17.2623,0.0352,17.4191,0.2067,15.3815,0.0414,15.3612,0.0209,14.5605,0.0107,14.4986,0.0234,13.767,0.0074,13.7461,0.0771,13.4082,0.013,13.2645,0.0194,6.9,274681081
☄,106.74,274680683,274.350488,-4.931377,25,59,181724.11-045552.9,56972.7568,0,0,2,1,1,0.926,,,,,,,,,,,,,,,,,17.1056,0.0106,17.1417,0.0866,16.5741,0.0147,16.5752,0.084,9.3,274680684
☄,107.07,274681008,274.376004,-4.930776,170,41,181730.24-045550.7,56972.7568,0,0,2,1,1,0.494,,,,,,,,,,,,,,,,,18.4741,0.0394,18.8255,0.3186,17.6117,0.0283,17.4607,0.1432,8,274681010
☄,107.08,274680728,274.336145,-4.918221,36,36,181720.67-045505.5,57181.7243,0,0,1,1,1,0.468,,,,,,,,,,,,,,,,,,,,,17.6803,0.0457,18.0435,0.1653,9.5,274680729
☄,108.4,274681012,274.38337,-4.926027,58,60,181732.00-045533.6,57118.1247,0,0,4,2,1,0.979,,,,,,,,,,,,,,,,,16.3041,0.0451,16.4655,0.1909,15.8155,0.0077,15.8753,0.0302,10.9,274681058
☄,108.44,274697771,274.340282,-4.883824,25,147,181721.66-045301.7,56972.7568,0,0,2,1,1,0.764,,,,,,,,,,,,,,,,,17.7139,0.0201,17.7874,0.1252,17.0667,0.0149,17.037,0.0995,12.3,274697772
☄,108.45,274698067,274.391233,-4.894872,41,41,181733.89-045341.5,57118.1247,0,0,4,2,1,0.902,,,,,,,,,,,,,,,,,17.1944,0.0679,17.2759,0.138,16.773,0.0204,16.9288,0.0761,15,
☄,108.74,274680727,274.333224,-4.912095,67,25,181719.97-045443.5,56972.7568,3,0,2,1,1,0.961,,,,,,,,,,,,,,,,,17.1964,0.0302,17.1561,0.0783,16.2604,0.0123,16.3205,0.0846,5.3,274680739
☄,110.06,274681101,274.393105,-4.902035,46,39,181734.34-045407.3,57118.1247,0,0,4,2,1,0.981,,,,,,,,,,,,,,,,,16.1389,0.0148,16.2377,0.0387,15.3705,0.0146,15.3615,0.0236,11.8,274681098
☄,110.26,274681006,274.373673,-4.932784,36,36,181729.68-045558.0,57181.7243,0,0,1,1,1,0.564,,,,,,,,,,,,,,,,,,,,,17.4402,0.0309,17.7664,0.2187,11.1,274681008
☄,110.27,274697776,274.345199,-4.878929,38,70,181722.84-045244.1,56972.7568,0,0,2,1,1,0.542,,,,,,,,,,,,,,,,,17.9875,0.034,17.8897,0.1506,17.2329,0.0146,17.3506,0.1187,15,
